,year,crop_name,county,harvested_acres,production,yield,key_crop_name
253,2014,BERRIES RASPBERRIES,Monterey,782.0,7040.0,9.0,No Match
254,2014,BERRIES RASPBERRIES,Santa Barbara,1460.0,10000.0,6.85,No Match
255,2014,BERRIES RASPBERRIES,Santa Cruz,2420.0,24100.0,9.96,No Match
256,2014,BERRIES RASPBERRIES,Ventura,4630.0,42900.0,9.27,No Match
258,2014,BERRIES STRAWBERRIES FRESH MARKET,Monterey,11100.0,384000.0,34.59,Strawberries
259,2014,BERRIES STRAWBERRIES FRESH MARKET,Sacramento,100.0,300.0,3.0,Strawberries
260,2014,BERRIES STRAWBERRIES FRESH MARKET,San Luis Obispo,2640.0,103000.0,39.02,Strawberries
261,2014,BERRIES STRAWBERRIES FRESH MARKET,Santa Barbara,5960.0,232000.0,38.93,Strawberries
262,2014,BERRIES STRAWBERRIES FRESH MARKET,Ventura,8480.0,223000.0,26.3,Strawberries
263,2014,BERRIES STRAWBERRIES FRESH MARKET,Sum of Others,63.0,172.0,2.73,Strawberries
266,2014,BERRIES STRAWBERRIES PROCESSING,San Luis Obispo,829.0,32300.0,38.96,Strawberries
267,2014,BERRIES STRAWBERRIES PROCESSING,Santa Barbara,1870.0,72900.0,38.98,Strawberries
268,2014,BERRIES STRAWBERRIES PROCESSING,Ventura,3150.0,82800.0,26.29,Strawberries
270,2014,BERRIES STRAWBERRIES UNSPECIFIED,Los Angeles,25.0,340.0,13.6,Strawberries
271,2014,BERRIES STRAWBERRIES UNSPECIFIED,Orange,658.0,11800.0,17.93,Strawberries
272,2014,BERRIES STRAWBERRIES UNSPECIFIED,Placer,24.0,72.0,3.0,Strawberries
273,2014,BERRIES STRAWBERRIES UNSPECIFIED,Riverside,657.0,14500.0,22.07,Strawberries
274,2014,BERRIES STRAWBERRIES UNSPECIFIED,San Bernardino,105.0,1800.0,17.14,Strawberries
275,2014,BERRIES STRAWBERRIES UNSPECIFIED,San Diego,575.0,19000.0,33.04,Strawberries
276,2014,BERRIES STRAWBERRIES UNSPECIFIED,Santa Clara,47.0,527.0,11.21,Strawberries
277,2014,BERRIES STRAWBERRIES UNSPECIFIED,Santa Cruz,3300.0,100000.0,30.3,Strawberries
278,2014,BERRIES STRAWBERRIES UNSPECIFIED,Sum of Others,39.0,140.0,3.59,Strawberries
288,2014,BROCCOLI FOOD SERVICE,Monterey,15600.0,114000.0,7.31,Broccoli
290,2014,BROCCOLI FRESH MARKET,Imperial,15000.0,104000.0,6.93,Broccoli
